drinkers,bars
Cosme Durbann,Daiqui-ritas Bar and Lounge
Cosme Durbann,Coppertank Brewery
Cosme Durbann,Brewery Tap
Cosme Durbann,El Maton National Hall Tavern
Fernando Thake,Getaway Lounge
Fernando Thake,Davey Tavern
Fernando Thake,Anchor Inn Patio Bar
Maurits Priddis,Crickett Tavern
Maurits Priddis,Scuttlebutt Tavern
Maurits Priddis,Cooper's Tavern
Maurits Priddis,Scoreboard Saloon The
Maurits Priddis,Snidely's
Honor Rubinow,Danny's Bar & Grill
Honor Rubinow,Little Apple Brewing Co
Honor Rubinow,The Wheel
Gretchen Trighton,The Office Beer Bar & Grill
Gretchen Trighton,B B Cafe
Lynnet Bramford,Bowling's
Lynnet Bramford,C B S Distributing Inc
Bidget Pyecroft,Earthbound Brewing
Weber Carmo,Blue Moon Brewery At The Sandlot
Mackenzie Jorck,City Club Inn
Mackenzie Jorck,Bobby's Sand Bar
Mackenzie Jorck,Carole's
Mackenzie Jorck,Beechwood Lounge
Mackenzie Jorck,8th St Inn
Mackenzie Jorck,Bent-rim The
Annabelle Eacott,5 Spot 3
Annabelle Eacott,Freedom Way Lounge
Annabelle Eacott,R C Carryout R C Tavern
Annabelle Eacott,Broadway
Tobi Shears,Coppertank Brewery
Tobi Shears,Bottom of The Hill
Tobi Shears,Brew House
Katie Kenealy,Caboose Brewing Company
Jim Spellecy,Lamplighter Family Sports Bar Grill
Jarvis Jedrachowicz,Mcguire's Irish Pub Brewery
Jarvis Jedrachowicz,Marsha's Tavern
Fancy Hallick,Bowling's
Fancy Hallick,C B S Distributing Inc
Harli Kauscher,Atwood's Tin Hat
Harli Kauscher,Asgard Tavern
Claudine Martinuzzi,Capitol City Brewing Company
Miriam Boothebie,Broadway Brewhouse
Pinchas Vannoort,Daiqui-ritas Bar and Lounge
Pinchas Vannoort,Coppertank Brewery
Pinchas Vannoort,Bottom of The Hill
Thatcher Iannello,Chucks Lounge
Thatcher Iannello,Beepster's Tavern
Georgette Barday,Brew House
Georgette Barday,Brewery Tap
Leoline Remon,Blue Palms Brewhouse
Leoline Remon,Brassfield Estate Winery
Leoline Remon,Circle Bar
Yancy Woolfitt,Blue Palms Brewhouse
Yancy Woolfitt,Cismontane Brewing
Yancy Woolfitt,Black Market Brewing Co
Francyne Illyes,Daiqui-ritas Bar and Lounge
Francyne Illyes,Bottom of The Hill
Francyne Illyes,Brew House
Francyne Illyes,Brewery Tap
Francyne Illyes,El Maton National Hall Tavern
Tracey Stemp,Quencher Tavern The
Rosalind Lightbody,Mcguire's Irish Pub Brewery
Rosalind Lightbody,Miller's Pembroke Pines Ale House
Fancy Skerm,Willingers Beer Depot
Nichole Vautin,Avenue Pub
Nichole Vautin,B Bg's
Rutger Bruckenthal,Lances Pub
Margi Raggles,Capitol City Brewing Company
Fred Hammell,Atwood's Tin Hat
Keslie Traill,Steel Toe Brewing
Keslie Traill,Lamplighter Family Sports Bar Grill
Keslie Traill,Flat Earth Brewery
Keslie Traill,Old Town Tavern
Libbie Tingley,Steel Toe Brewing
Libbie Tingley,Lamplighter Family Sports Bar Grill
Libbie Tingley,Old Town Tavern
Eydie Ogg,Coppertank Brewery
Eydie Ogg,Bottom of The Hill
Eydie Ogg,Four Corners Brewing Co
Eydie Ogg,Brew House
Eydie Ogg,El Maton National Hall Tavern
Jaine Hartrick,Seanachai Social Club
Kary Mowett,Daiqui-ritas Bar and Lounge
